index,ID,Breast (NAT)_sum,Breast (N)_sum,Breast (N-FA)_sum,Breast (T)_sum,Lung (NAT)_sum,Lung (T)_sum,Melanoma (T)_sum,Pancreas (T)_sum,Ovary (NAT)_sum,Ovary (N- fallop)_sum,Ovary (T)_sum,Colon (NAT)_sum,Colon (T)_sum,Bone (T)_sum,GBM (T)_sum
84,Acidobacteria_Sva0725_Sva0725_Unknown family_Unknown genus127_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Acidobacteria_Unknown class_Unknown order_Unknown family_Unknown genus9_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Actinobacteria_Acidimicrobiia_Acidimicrobiales_EB1017_Unknown genus44_Unknown species2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Actinobacteria_Acidimicrobiia_Acidimicrobiales_EB1017_Unknown genus44_Unknown species5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Actinobacteria_Acidimicrobiia_Acidimicrobiales_EB1017_Unknown genus44_Unknown species6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Actinobacteria_Acidimicrobiia_Acidimicrobiales_Iamiaceae_Iamia_Unknown species41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Actinobacteria_Acidimicrobiia_Acidimicrobiales_Iamiaceae_Iamia_Unknown species9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Actinobacteria_Acidimicrobiia_Acidimicrobiales_Unknown family_Unknown genus104_Unknown species2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Actinobacteria_Acidimicrobiia_Acidimicrobiales_Unknown family_Unknown genus150_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Actinobacteria_Acidimicrobiia_Acidimicrobiales_Unknown family_Unknown genus173_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Actinobacteria_Acidimicrobiia_Acidimicrobiales_Unknown family_Unknown genus2_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Actinobacteria_Acidimicrobiia_Acidimicrobiales_Unknown family_Unknown genus271_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Actinobacteria_Acidimicrobiia_Acidimicrobiales_Unknown family_Unknown genus295_Unknown species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
