Feature ID	Taxon	Confidence
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_24	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus	0.999999992
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_25	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__uncultured_organism	0.861896582
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_26	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__uncultured_organism	0.802788652
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_27	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus	0.999999991
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_28	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__uncultured_organism	0.716625667
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_29	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__uncultured_organism	0.837295566
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_30	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus	0.999999995
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_31	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus	0.999999993
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_32	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__uncultured_organism	0.948374234
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_33	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus	0.999999991
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_34	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus	0.999999989
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_35	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__uncultured_organism	0.770429149
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_36	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__uncultured_organism	0.70666567
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_37	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus	0.999999991
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_38	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus	0.999999987
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_39	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus	0.999999992
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_40	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__uncultured_organism	0.890516186
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_41	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__uncultured_organism	0.910956912
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_42	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__uncultured_organism	0.896231697
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_43	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus	0.999999994
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_44	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus	0.999999994
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_45	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__uncultured_organism	0.731194418
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_46	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus	0.999999988
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_Assigned_species1550_47	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.996944504
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_1_Bacillus_Bacillus_gibsonii_48	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.999999988
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Anoxybacillus_Anoxybacillus_kestanbolensis_49	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus	0.999999986
Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Shewanellaceae_Shewanella_Shewanella_aquimarina_50	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella	1
Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Shewanellaceae_Shewanella_Shewanella_aquimarina_51	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella	1
Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Vibrionaceae_Vibrio_Vibrio_ichthyoenteri_52	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio; s__Vibrio_scophthalmi	0.858585649
Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Shewanellaceae_Shewanella_Shewanella_algae_53	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__Shewanella_algae	0.757457449
Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales_Shewanellaceae_Shewanella_Shewanella_algae_54	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__Shewanella_algae	0.995700756
Bacteria_Proteobacteria_Deltaproteobacteria_Syntrophobacterales_Syntrophaceae_Syntrophus_Assigned_species75_55	d__Bacteria; p__Desulfobacterota; c__Syntrophia; o__Syntrophales; f__Syntrophaceae; g__Syntrophus	0.999993363
Bacteria_Firmicutes_Clostridia_Clostridiales_Tissierellaceae_1-68_1-68_Unknown_56	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcales-Tissierellales; g__Ezakiella; s__[Bacteroides]_coagulans	0.976287175
Archaea_Crenarchaeota_MBGB_Unknown_order_Unknown_family_Assigned_genus1_Assigned_species2_57	d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia; o__Lokiarchaeia; f__Lokiarchaeia; g__Lokiarchaeia; s__uncultured_archaeon	0.999341711
